INCIDENT NUMBER,SHOOTING TYPE,INCIDENT DATE,INCIDENT YEAR,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO LOCATION,HANDLING UNIT ID,HANDLING UNIT NAME,HIT SHOOTING,NON HIT SHOOTING,ANIMAL SHOOTING,OTHER SHOOTING,UNINTENTIONAL DISCHARGE,WARNING SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
1000441,1,05/18/2013 09:12:00 PM,2013,6100 MIRAMONTE BLVD,LOS ANGELES,CA,90001,2171,"6100 MIRAMONTE BLVD
LOS ANGELES, CA 90001
(33.984765, -118.245342)",CEN,CENTURY STN,1,,,,,,33.984765,-118.245342
1000184,3,12/16/2010 12:00:00 PM,2010,E. 87TH STREET AND HOOPER AVENUE,LOS ANGELES,CA,90002,2174,"E. 87TH STREET AND HOOPER AVENUE
LOS ANGELES, CA 90002
(33.95923998404848763258, -118.25396500187323683008)",CEN,CENTURY STN,,,1,,,,33.959239984048488,-118.253965001873237
1000799,5,06/17/2016 08:20:00 AM,2016,400 W. 14TH STREET,SAN BERNARDINO,CA,92405,2405,"400 W. 14TH STREET
SAN BERNARDINO, CA 92405
(34.125512, -117.292991)",COP,COPS BUREAU,,,,,1,,34.125512,-117.292991
1001332,3,12/06/2017 04:47:00 PM,2017,2300 LIGHTCAP STREET,LANCASTER,CA,93535,1137,"2300 LIGHTCAP STREET
LANCASTER, CA 93535
(34.696959, -118.094664)",LCS,LANCASTER STN,,,1,,,,34.696959,-118.094664
1000442,1,05/22/2013 11:40:00 AM,2013,5800 ALOTT AVENUE,VAN NUYS,CA,91401,3199,"5800 ALOTT AVENUE
VAN NUYS, CA 91401
(34.175726, -118.427941)",MCB,MAJOR CRIMES BUREAU,1,,,,,,34.175726,-118.427941
1000464,1,08/29/2012 05:33:00 PM,2012,SANTA FE AVENUE AND ANAHEIM STREET,LONG BEACH,CA,90813,1699,"SANTA FE AVENUE AND ANAHEIM STREET
LONG BEACH, CA 90813
(33.78273600103987143088, -118.21548000742128050492)",CSN,CARSON STN,1,,,,,,33.782736001039871,-118.215480007421281
1000206,5,01/31/2012 04:55:00 PM,2012,5000 E. 3RD STREET,LOS ANGELES,CA,90022,0282,"5000 E. 3RD STREET
LOS ANGELES, CA 90022
(34.033326, -118.157918)",ELA,EAST LA STN,,,,,1,,34.033326,-118.157918
1001331,5,12/01/2017 09:13:00 PM,2017,27000 AGOURA ROAD,CALABASAS,CA,91301,2242,"27000 AGOURA ROAD
CALABASAS, CA 91301
(34.139426, -118.70849)",MLH,MALIBU/LOST HILLS STN,,,,,1,,34.139426,-118.70849
1000484,1,04/29/2014 04:15:00 AM,2014,100 NORTH GAGE AVENUE,EAST LOS ANGELES,CA,90063,0276,"100 NORTH GAGE AVENUE
EAST LOS ANGELES, CA 90063
(34.036036, -118.184622)",SEB,SPECIAL ENFORCEMENT BUR,1,,,,,,34.036036,-118.184622
1000263,5,10/30/2014 04:04:00 PM,2014,100 N. HUDSON AVENUE,CITY OF INDUSTRY,CA,91744,2405,"100 N. HUDSON AVENUE
CITY OF INDUSTRY, CA 91744
(34.024565, -117.959871)",COP,COPS BUREAU,,,,,1,,34.024565,-117.959871
1000126,3,05/09/2013 09:35:00 AM,2013,115TH STREET EAST AND AVENUE S,LITTLEROCK,CA,93543,2663,"115TH STREET EAST AND AVENUE S
LITTLEROCK, CA 93543
(34.55796199688338625054, -117.92533200683622760934)",PLM,PALMDALE STN,,,1,,,,34.557961996883386,-117.925332006836228
1000298,2,05/10/2010 04:42:00 AM,2010,5800 LAKEWOOD BOULEVARD,LAKEWOOD,CA,90712,1322,"5800 LAKEWOOD BOULEVARD
LAKEWOOD, CA 90712
(33.860311, -118.142409)",LKD,LAKEWOOD STN,,1,,,,,33.860311,-118.142409
1000156,3,01/23/2015 11:47:00 AM,2015,5400 N. PECK ROAD,ARCADIA,CA,91006,8339,"5400 N. PECK ROAD
ARCADIA, CA 91006
(34.100974, -118.009518)",PKB,PARKS BUREAU,,,1,,,,34.100974,-118.009518
1000106,3,11/01/2012 07:37:00 PM,2012,1400 W. BENNETT STREET,COMPTON,CA,90220,2836,"1400 W. BENNETT STREET
COMPTON, CA 90220
(33.880979, -118.243942)",COM,COMPTON STN,,,1,,,,33.880979,-118.243942
1000351,1,05/22/2011 06:30:00 AM,2011,114TH STREET AND  COMPTON AVENUE,LOS ANGELES,CA,90059,2199,"114TH STREET AND COMPTON AVENUE
LOS ANGELES, CA 90059
(33.93113097976049179225, -118.24625802583880474168)",CEN,CENTURY STN,1,,,,,,33.931130979760492,-118.246258025838805
1000352,1,05/24/2011 06:44:00 AM,2011,2000 EAST 76TH STREET,LOS ANGELES,CA,90001,2173,"2000 EAST 76TH STREET
LOS ANGELES, CA 90001
(33.971921, -118.236815)",CEN,CENTURY STN,1,,,,,,33.971921,-118.236815
1000328,1,11/08/2010 10:17:00 PM,2010,1600 E. 123RD STREET,LOS ANGELES,CA,90059,2134,"1600 E. 123RD STREET
LOS ANGELES, CA 90059
(33.920875, -118.245665)",CEN,CENTURY STN,1,,,,,,33.920875,-118.245665
1000311,2,07/27/2010 06:57:00 PM,2010,15300 AVALON BOULEVARD,COMPTON,CA,90248,2199,"15300 AVALON BOULEVARD
COMPTON, CA 90248
(33.892958, -118.265233)",CEN,CENTURY STN,,1,,,,,33.892958,-118.265233
1000592,5,07/12/2015 05:50:00 PM,2015,11700 S. ALAMEDA STREET,LYNWOOD,CA,90626,2110,"11700 S. ALAMEDA STREET
LYNWOOD, CA 90626
(33.92792, -118.226293)",CEN,CENTURY STN,,,,,1,,33.92792,-118.226293
1000659,1,12/12/2015 10:59:00 AM,2015,12100 LONG BEACH BOULEVARD,LYNWOOD,CA,90262,2116,"12100 LONG BEACH BOULEVARD
LYNWOOD, CA 90262
(33.917008, -118.209419)",CEN,CENTURY STN,1,,,,,,33.917008,-118.209419
1000023,3,05/18/2010 08:04:00 AM,2010,26100 ROYMER DRIVE,CALABASAS,CA,91302,2243,"26100 ROYMER DRIVE
CALABASAS, CA 91302
(34.15714, -118.694553)",LHS,LOS HILLS STATION,,,1,,,,34.15714,-118.694553
1000685,2,02/10/2016 11:53:00 AM,2016,3600 EAST ELIZABETH STREET,COMPTON,CA,90221,2853,"3600 EAST ELIZABETH STREET
COMPTON, CA 90221
(33.888076, -118.20436)",OSS,OPERATION SAFE STREETS BUREAU,,1,,,,,33.888076,-118.20436
1001383,5,01/21/2018 06:27:00 AM,2018,14900 STANFORD AVENUE,COMPTON,CA,90220,,"14900 STANFORD AVENUE
COMPTON, CA 90220
(33.916235, -118.262522)",CEN,CENTURY STN,,,,,1,,33.916235,-118.262522
1000183,3,10/27/2014 12:46:00 PM,2014,36400 COLCORD AVENUE,LITTLEROCK,CA,93543,2663,"36400 COLCORD AVENUE
LITTLEROCK, CA 93543
(34.542934, -117.970212)",PLM,PALMDALE STN,,,1,,,,34.542934,-117.970212
1000088,3,06/06/2012 09:35:00 AM,2012,1900 N. MARENGO AVENUE,PASADENA,CA,91103,0799,"1900 N. MARENGO AVENUE
PASADENA, CA 91103
(34.17854, -118.146219)",COP,COPS BUREAU,,,1,,,,34.17854,-118.146219
1001329,1,11/28/2017 10:18:00 PM,2017,21300 BOTTLETREE LANE,SANTA CLARITA,CA,91321,0627,"21300 BOTTLETREE LANE
SANTA CLARITA, CA 91321
(34.377031, -118.510765)",SCV,SANTA CLARITA VALLEY STN,1,,,,,,34.377031,-118.510765
1000406,1,06/21/2012 12:00:00 PM,2012,11500 ATLANTIC BLVD,LYNWOOD,CA,90262,2114,"11500 ATLANTIC BLVD
LYNWOOD, CA 90262
(33.920226, -118.187786)",CEN,CENTURY STN,1,,,,,,33.920226,-118.187786
1000062,3,08/02/2011 02:15:00 PM,2011,4200 W. LANCASTER BOULEVARD,LANCASTER,CA,93536,1127,"4200 W. LANCASTER BOULEVARD
LANCASTER, CA 93536
(34.696813, -118.205367)",COP,COPS BUREAU,,,1,,,,34.696813,-118.205367
1000260,5,10/02/2014 05:00:00 AM,2014,400 CENTER STREET,LOS ANGELES,CA,90012,6892,"400 CENTER STREET
LOS ANGELES, CA 90012
(34.051373, -118.231505)",TSB,TRANSIT SERVICES BUREAU,,,,,1,,34.051373,-118.231505
1000691,2,02/19/2015 02:10:00 PM,2015,15700 FOOTHILL BOULEVARD,AZUSA,CA,91702,8332,"15700 FOOTHILL BOULEVARD
AZUSA, CA 91702
(34.133448, -117.891295)",PKB,PARKS BUREAU,,1,,,,,34.133448,-117.891295
1000366,1,11/29/2011 03:36:00 AM,2011,11700 ELMCROFT AVENUE,NORWALK,CA,90650,0451,"11700 ELMCROFT AVENUE
NORWALK, CA 90650
(33.925936, -118.095671)",NWK,NORWALK REGIONAL STN,1,,,,,,33.925936,-118.095671
1001181,2,07/22/2017 02:11:00 AM,2017,10700 ATLANTIC AVENUE,LYNWOOD,CA,90262,2115,"10700 ATLANTIC AVENUE
LYNWOOD, CA 90262
(33.933753, -118.18251)",CEN,CENTURY STN,,1,,,,,33.933753,-118.18251
