,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,Latitude,Longitude,city,zipcode,category1,category2,category3,CensusTract
1504,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.1394033608805, 'longitude': -118.200551044859}",(323) 478-2791,12112.371626374828,cacao-mexicatessen-los-angeles-2,https://s3-media1.fl.yelpcdn.com/bphoto/i3P73L7yg7PVXVpLli5mhA/o.jpg,False,"{'address1': '1576 Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['1576 Colorado Blvd', 'Los Angeles, CA 90041']}",CaCao Mexicatessen,13234782791.0,$$,4.0,1309,[],https://www.yelp.com/biz/cacao-mexicatessen-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.20055104485901,34.1394033608805,Los Angeles,90041,Mexican,"Beer, Wine & Spirits",Breakfast & Brunch,6037181500
1517,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.12974, 'longitude': -118.21645}",(323) 305-4038,13865.91795651271,zweet-cafe-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/bp3juO6N2c-jNwWixrxHzA/o.jpg,False,"{'address1': '4682 Eagle Rock Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['4682 Eagle Rock Blvd', 'Los Angeles, CA 90041']}",Zweet Cafe,13233054038.0,$,4.5,305,['pickup'],https://www.yelp.com/biz/zweet-cafe-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.21645,34.129740000000005,Los Angeles,90041,Coffee & Tea,Cafes,Breakfast & Brunch,6037183402
1523,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 34.1182677171888, 'longitude': -118.191243186593}",(323) 675-1093,13741.8659869725,jane-los-angeles-3,https://s3-media2.fl.yelpcdn.com/bphoto/OLMgU6yEPt3qJ71ok6AzPA/o.jpg,False,"{'address1': '5830 York Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5830 York Blvd', 'Los Angeles, CA 90042']}",Jane,13236751093.0,$$,4.0,241,[],https://www.yelp.com/biz/jane-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.191243186593,34.1182677171888,Los Angeles,90042,Coffee & Tea,Breakfast & Brunch,Burgers,6037183620
1529,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 34.1193735, 'longitude': -118.1957665}",(323) 739-0240,13809.40217986416,parsnip-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/5Z5QYiKawndfjMkhW6CB1Q/o.jpg,False,"{'address1': '5623 York Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5623 York Blvd', 'Los Angeles, CA 90042']}",Parsnip,13237390240.0,$$,5.0,159,"['delivery', 'pickup']",https://www.yelp.com/biz/parsnip-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.1957665,34.1193735,Los Angeles,90042,Cafes,Mediterranean,,6037183220
1534,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.1389806, 'longitude': -118.1984514}",(323) 257-7375,12045.805792117268,cindys-eagle-rock-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/-n8V4tIh9XhlnuhI3Xmo6Q/o.jpg,False,"{'address1': '1500 Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['1500 Colorado Blvd', 'Los Angeles, CA 90041']}",Cindy's Eagle Rock,13232577375.0,$$,4.0,478,[],https://www.yelp.com/biz/cindys-eagle-rock-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.1984514,34.138980600000004,Los Angeles,90041,Breakfast & Brunch,Diners,American (New),6037181500
1537,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.1389640530957, 'longitude': -118.212799429893}",(323) 550-1988,12810.393951973647,four-cafe-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/rxJjhsKjG7BmhGvxG7yZEw/o.jpg,False,"{'address1': '2122 Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['2122 Colorado Blvd', 'Los Angeles, CA 90041']}",Four Cafe,13235501988.0,$$,4.0,677,"['pickup', 'delivery']",https://www.yelp.com/biz/four-cafe-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.212799429893,34.1389640530957,Los Angeles,90041,American (New),Sandwiches,Breakfast & Brunch,6037181400
1539,"[{'alias': 'filipino', 'title': 'Filipino'}]","{'latitude': 34.14177, 'longitude': -118.22111}",(323) 362-2263,13054.544340704817,eagle-rock-kitchen-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/dTds4CXdzm6As5IaTuiLWw/o.jpg,False,"{'address1': '2501 Colorado Blvd', 'address2': 'Unit F', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['2501 Colorado Blvd', 'Unit F', 'Los Angeles, CA 90041']}",Eagle Rock Kitchen,13233622263.0,$,4.5,115,"['pickup', 'delivery']",https://www.yelp.com/biz/eagle-rock-kitchen-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.22111,34.14177,Los Angeles,90041,Filipino,,,6037181000
1560,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.118831, 'longitude': -118.179024}",(323) 255-2220,13242.613917477805,amara-kitchen-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/2wZlVoKnRCRQ3txvf0jP5A/o.jpg,False,"{'address1': '519 N Ave 64', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['519 N Ave 64', 'Los Angeles, CA 90042']}",Amara Kitchen,13232552220.0,$$,4.0,334,['pickup'],https://www.yelp.com/biz/amara-kitchen-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.179024,34.118831,Los Angeles,90042,Coffee & Tea,Gluten-Free,Breakfast & Brunch,6037183101
1563,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.1232542755779, 'longitude': -118.185404684849}",(323) 284-2739,13013.534527597483,la-perlita-cafe-los-angeles-2,https://s3-media1.fl.yelpcdn.com/bphoto/J-NUZUQKkGrSI9_YI763bQ/o.jpg,False,"{'address1': '6645 N Figueroa St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['6645 N Figueroa St', 'Los Angeles, CA 90042']}",La Perlita Cafe,13232842739.0,,5.0,12,[],https://www.yelp.com/biz/la-perlita-cafe-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.18540468484899,34.1232542755779,Los Angeles,90042,Cafes,Breakfast & Brunch,Mexican,
1578,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 34.1310746346082, 'longitude': -118.216671693423}",(323) 254-4227,13724.63611017146,max-city-bbq-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/riUVx8LAZxe6-fzZK-ZQOw/o.jpg,False,"{'address1': '4729 Eagle Rock Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['4729 Eagle Rock Blvd', 'Los Angeles, CA 90041']}",Max City BBQ,13232544227.0,$$,4.0,687,"['delivery', 'pickup']",https://www.yelp.com/biz/max-city-bbq-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.21667169342301,34.1310746346082,Los Angeles,90041,Caterers,Barbeque,,6037181600
1579,"[{'alias': 'delis', 'title': 'Delis'}]","{'latitude': 34.1388857, 'longitude': -118.2124021}",(323) 255-3354,12794.94550543936,new-york-famous-deli-los-angeles-3,https://s3-media3.fl.yelpcdn.com/bphoto/79iAOQRGFC_Z9OajtikMpw/o.jpg,False,"{'address1': '2108 Colorado Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['2108 Colorado Blvd', 'Los Angeles, CA 90041']}",New York Famous Deli,13232553354.0,$$,4.5,458,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/new-york-famous-deli-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.2124021,34.1388857,Los Angeles,90041,Delis,,,6037181400
1597,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 34.1395548, 'longitude': -118.2054276}",(323) 739-0411,12353.350858916201,modan-eagle-rock-ramen-los-angeles-5,https://s3-media1.fl.yelpcdn.com/bphoto/w03cVegtOHDrRkw7-mJRkA/o.jpg,False,"{'address1': '1757 Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['1757 Colorado Blvd', 'Los Angeles, CA 90041']}",Modan Eagle Rock Ramen,13237390411.0,$$,4.5,301,[],https://www.yelp.com/biz/modan-eagle-rock-ramen-los-angeles-5?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.20542759999998,34.13955479999999,Los Angeles,90041,Japanese,Asian Fusion,,
1617,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.13606, 'longitude': -118.21534}",(323) 895-7888,13217.922950051841,spireworks-los-angeles-2,https://s3-media1.fl.yelpcdn.com/bphoto/bYAtB800PSKcGvrpFTZk6Q/o.jpg,False,"{'address1': '4945 Eagle Rock Blvd', 'address2': 'Ste B', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['4945 Eagle Rock Blvd', 'Ste B', 'Los Angeles, CA 90041']}",SpireWorks,13238957888.0,$,4.5,192,"['pickup', 'delivery']",https://www.yelp.com/biz/spireworks-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.21534,34.13606,Los Angeles,90041,Turkish,Sandwiches,Coffee & Tea,6037181400
1619,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 34.12157, 'longitude': -118.20586}",(323) 739-0351,14064.04866363671,à-bloc-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/Ky1jqCnzUzb9NwVgcwq5Zw/o.jpg,False,"{'address1': '5025 York Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5025 York Blvd', 'Los Angeles, CA 90042']}",À Bloc,13237390351.0,$,5.0,38,[],https://www.yelp.com/biz/%C3%A0-bloc-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.20586000000002,34.12157,Los Angeles,90042,Coffee & Tea,Cafes,,6037183401
1624,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.1206039, 'longitude': -118.2016523}",(323) 478-9572,13943.866792120049,huarache-azteca-restaurante-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/RwdkaKJBn3X--JiZIrzTpg/o.jpg,False,"{'address1': '5225 York Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5225 York Blvd', 'Los Angeles, CA 90042']}",Huarache Azteca Restaurante,13234789572.0,$,4.0,725,[],https://www.yelp.com/biz/huarache-azteca-restaurante-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.2016523,34.1206039,Los Angeles,90042,Mexican,Latin American,Breakfast & Brunch,6037183300
1635,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 34.1389651, 'longitude': -118.2118749}",(323) 739-0528,12770.26307910265,the-melt-spot-los-angeles-2,https://s3-media4.fl.yelpcdn.com/bphoto/Oj3OibHmGwAY5d8yrAhhFQ/o.jpg,False,"{'address1': '2040 Colorado Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['2040 Colorado Blvd', 'Los Angeles, CA 90041']}",The Melt Spot,13237390528.0,$,4.5,61,[],https://www.yelp.com/biz/the-melt-spot-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.2118749,34.1389651,Los Angeles,90041,Creperies,Gelato,Juice Bars & Smoothies,6037181400
1639,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}]","{'latitude': 34.12104, 'longitude': -118.20615}",(323) 739-6762,14109.866802928591,côté-est-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/5idSkptBIevNFP6bze_gjg/o.jpg,False,"{'address1': '5022 York Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5022 York Blvd', 'Los Angeles, CA 90042']}",Côté Est,13237396762.0,$$,4.5,62,[],https://www.yelp.com/biz/c%C3%B4t%C3%A9-est-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.20615,34.12104,Los Angeles,90042,Wine Bars,French,,6037183401
1641,"[{'alias': 'cheese', 'title': 'Cheese Shops'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.1388953, 'longitude': -118.2123078}",(323) 892-1068,12788.807086620784,milkfarm-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/w_OsXLaAPQLOZsysMmqVnA/o.jpg,False,"{'address1': '2106 W Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['2106 W Colorado Blvd', 'Los Angeles, CA 90041']}",Milkfarm,13238921068.0,$$,4.5,157,[],https://www.yelp.com/biz/milkfarm-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.2123078,34.1388953,Los Angeles,90041,Cheese Shops,"Beer, Wine & Spirits",Sandwiches,6037181400
