	categories	coordinates	display_phone	distance	id	image_url	is_closed	location	name	phone	price	rating	review_count	transactions	url
10	[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]	{'latitude': 33.85715, 'longitude': -117.86749}	(714) 630-8574	1685.0358936653638	blakes-place-anaheim-3	https://s3-media3.fl.yelpcdn.com/bphoto/jK8K9tGggVJR04G-LYRM4A/o.jpg	False	{'address1': '2905 E Miraloma Ave', 'address2': 'Ste 3', 'address3': '', 'city': 'Anaheim', 'zip_code': '92806', 'country': 'US', 'state': 'CA', 'display_address': ['2905 E Miraloma Ave', 'Ste 3', 'Anaheim, CA 92806']}	Blake's Place	+17146308574	$$	4.0	608	['delivery', 'pickup']	https://www.yelp.com/biz/blakes-place-anaheim-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
11	[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]	{'latitude': 33.8732049, 'longitude': -117.8763828}	(657) 444-9100	1289.0044341475518	tortas-and-bionicos-nice-placentia-2	https://s3-media3.fl.yelpcdn.com/bphoto/9VkGL1saA3pQp5A2ScTNeg/o.jpg	False	{'address1': '616 W Chapman Ave', 'address2': None, 'address3': '', 'city': 'Placentia', 'zip_code': '92870', 'country': 'US', 'state': 'CA', 'display_address': ['616 W Chapman Ave', 'Placentia, CA 92870']}	"Tortas & Bionicos ""nice"""	+16574449100	$	4.5	45	[]	https://www.yelp.com/biz/tortas-and-bionicos-nice-placentia-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
12	[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]	{'latitude': 33.8602446601114, 'longitude': -117.942345829866}	(714) 519-3433	7443.010017039888	holdaak-fullerton-3	https://s3-media3.fl.yelpcdn.com/bphoto/l3A3_D0s3tINW5vtLuechA/o.jpg	False	{'address1': '1201 S Euclid St', 'address2': 'Ste B', 'address3': None, 'city': 'Fullerton', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['1201 S Euclid St', 'Ste B', 'Fullerton, CA 92832']}	Holdaak	+17145193433	$	4.5	417	['pickup']	https://www.yelp.com/biz/holdaak-fullerton-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
13	[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]	{'latitude': 33.9092033822344, 'longitude': -117.849996131924}	(657) 444-2291	4398.643183697284	slapfish-brea	https://s3-media4.fl.yelpcdn.com/bphoto/J4LQTBripIjwYOJPrE5IZw/o.jpg	False	{'address1': '3405 E Imperial Hwy', 'address2': '', 'address3': '', 'city': 'Brea', 'zip_code': '92823', 'country': 'US', 'state': 'CA', 'display_address': ['3405 E Imperial Hwy', 'Brea, CA 92823']}	Slapfish	+16574442291	$$	4.0	796	[]	https://www.yelp.com/biz/slapfish-brea?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
14	[{'alias': 'gastropubs', 'title': 'Gastropubs'}]	{'latitude': 33.8726450658277, 'longitude': -117.89023462683}	(714) 441-0000	2538.6804210385376	the-back-room-fullerton-2	https://s3-media4.fl.yelpcdn.com/bphoto/H_dPFSISHM-pQiyVmqrHlQ/o.jpg	False	{'address1': '305 N State College Blvd', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['305 N State College Blvd', 'Fullerton, CA 92831']}	The Back Room	+17144410000	$$	4.5	173	[]	https://www.yelp.com/biz/the-back-room-fullerton-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
15	[{'alias': 'mexican', 'title': 'Mexican'}]	{'latitude': 33.8704690233034, 'longitude': -117.871121648946}	(714) 993-7880	771.4903957399899	el-farolito-placentia	https://s3-media2.fl.yelpcdn.com/bphoto/slmV7nNI6rKvs5qr9yr2aA/o.jpg	False	{'address1': '201 S Bradford Ave', 'address2': '', 'address3': '', 'city': 'Placentia', 'zip_code': '92870', 'country': 'US', 'state': 'CA', 'display_address': ['201 S Bradford Ave', 'Placentia, CA 92870']}	El Farolito	+17149937880	$	4.0	1454	[]	https://www.yelp.com/biz/el-farolito-placentia?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
16	[{'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'italian', 'title': 'Italian'}]	{'latitude': 33.8263001, 'longitude': -117.8359851}	(714) 602-6945	5588.839442206126	patagonia-empanadas-orange-8	https://s3-media3.fl.yelpcdn.com/bphoto/GjRCaWuAqM_RwjJGz8SRuw/o.jpg	False	{'address1': '2279 N Tustin St', 'address2': None, 'address3': '', 'city': 'Orange', 'zip_code': '92865', 'country': 'US', 'state': 'CA', 'display_address': ['2279 N Tustin St', 'Orange, CA 92865']}	Patagonia Empanadas	+17146026945	$	4.5	309	['pickup', 'delivery']	https://www.yelp.com/biz/patagonia-empanadas-orange-8?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
17	[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'japanese', 'title': 'Japanese'}]	{'latitude': 33.8911057, 'longitude': -117.8734613}	(714) 528-8287	2404.644994815874	the-good-fish-fullerton	https://s3-media1.fl.yelpcdn.com/bphoto/AMtXfZXRste3P9F2x6XVQQ/o.jpg	False	{'address1': '1956 N Placentia Ave', 'address2': None, 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['1956 N Placentia Ave', 'Fullerton, CA 92831']}	The Good Fish	+17145288287	$$	4.5	164	[]	https://www.yelp.com/biz/the-good-fish-fullerton?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
18	[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]	{'latitude': 33.8313913199616, 'longitude': -117.912403905831}		6362.284734948114	the-blind-rabbit-anaheim	https://s3-media1.fl.yelpcdn.com/bphoto/6ZvRe0MX5jsL-kwA3B0AUQ/o.jpg	False	{'address1': '440 S Anaheim Blvd', 'address2': 'Ste 104', 'address3': '', 'city': 'Anaheim', 'zip_code': '92805', 'country': 'US', 'state': 'CA', 'display_address': ['440 S Anaheim Blvd', 'Ste 104', 'Anaheim, CA 92805']}	The Blind Rabbit		$$	4.5	1207	['restaurant_reservation']	https://www.yelp.com/biz/the-blind-rabbit-anaheim?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
19	[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]	{'latitude': 33.8763748981511, 'longitude': -117.879422307014}	(714) 996-3288	1642.867914842748	ola-hawaiian-bbq-fullerton	https://s3-media4.fl.yelpcdn.com/bphoto/9E3LzV7_ISmoUh2rw8MFzg/o.jpg	False	{'address1': '733 N Placentia Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['733 N Placentia Ave', 'Fullerton, CA 92831']}	Ola Hawaiian BBQ	+17149963288	$	4.0	398	['pickup']	https://www.yelp.com/biz/ola-hawaiian-bbq-fullerton?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
20	[{'alias': 'bbq', 'title': 'Barbeque'}]	{'latitude': 33.8874697744823, 'longitude': -117.862867456132}	(714) 983-7558	1820.2445060563339	meat-up-bbq-placentia	https://s3-media3.fl.yelpcdn.com/bphoto/nrmevHWc_t1EcBkpJzW7Dg/o.jpg	False	{'address1': '1450 N Kraemer Blvd', 'address2': None, 'address3': '', 'city': 'Placentia', 'zip_code': '92870', 'country': 'US', 'state': 'CA', 'display_address': ['1450 N Kraemer Blvd', 'Placentia, CA 92870']}	Meat Up BBQ	+17149837558	$$	4.0	552	['pickup']	https://www.yelp.com/biz/meat-up-bbq-placentia?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
21	[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mexican', 'title': 'Mexican'}]	{'latitude': 33.91195, 'longitude': -117.89024}	(714) 529-2900	5201.289169082834	tempo-urban-kitchen-brea	https://s3-media1.fl.yelpcdn.com/bphoto/8KmJDOmCdJQEfgk7E8pq8w/o.jpg	False	{'address1': '1060 E Imperial Hwy', 'address2': '', 'address3': '', 'city': 'Brea', 'zip_code': '92821', 'country': 'US', 'state': 'CA', 'display_address': ['1060 E Imperial Hwy', 'Brea, CA 92821']}	Tempo Urban Kitchen	+17145292900	$$	4.0	1677	['pickup', 'restaurant_reservation', 'delivery']	https://www.yelp.com/biz/tempo-urban-kitchen-brea?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
22	[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'ramen', 'title': 'Ramen'}]	{'latitude': 33.8705049, 'longitude': -117.9227446}	(714) 447-9926	5527.423158630898	kopan-ramen-fullerton-fullerton-2	https://s3-media2.fl.yelpcdn.com/bphoto/4YestdZA1Vhtd150QFCHqw/o.jpg	False	{'address1': '141 E Commonwealth Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['141 E Commonwealth Ave', 'Fullerton, CA 92832']}	Kopan Ramen - Fullerton	+17144479926	$$	4.0	2718	[]	https://www.yelp.com/biz/kopan-ramen-fullerton-fullerton-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
23	[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'mexican', 'title': 'Mexican'}]	{'latitude': 33.8357217, 'longitude': -117.9162517}	(714) 603-7665	6323.789150270602	kookoo-grill-the-original-anaheim-10	https://s3-media2.fl.yelpcdn.com/bphoto/ZHQMpvDdl8C07WATXUS_WA/o.jpg	False	{'address1': '202 W Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Anaheim', 'zip_code': '92805', 'country': 'US', 'state': 'CA', 'display_address': ['202 W Lincoln Ave', 'Anaheim, CA 92805']}	KooKoo Grill - The Original	+17146037665	$	4.5	255	[]	https://www.yelp.com/biz/kookoo-grill-the-original-anaheim-10?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
24	[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]	{'latitude': 33.9112149, 'longitude': -117.8674685}	(714) 671-5886	4592.985856102072	on-the-hook-brea	https://s3-media1.fl.yelpcdn.com/bphoto/TKyvnCBJA6A2MFxAjrL43g/o.jpg	False	{'address1': '2445 E Imperial Hwy', 'address2': 'Ste M', 'address3': '', 'city': 'Brea', 'zip_code': '92821', 'country': 'US', 'state': 'CA', 'display_address': ['2445 E Imperial Hwy', 'Ste M', 'Brea, CA 92821']}	On The Hook	+17146715886	$$	4.0	872	[]	https://www.yelp.com/biz/on-the-hook-brea?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
25	[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]	{'latitude': 33.8709036, 'longitude': -117.9205492}	(714) 681-1298	5331.706590093166	pie-dog-fullerton-14	https://s3-media1.fl.yelpcdn.com/bphoto/KHesKIyk2RMH3B9oYkbiQw/o.jpg	False	{'address1': '229 E Commonwealth Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['229 E Commonwealth Ave', 'Fullerton, CA 92832']}	Pie Dog	+17146811298	$$	4.0	872	['delivery', 'pickup']	https://www.yelp.com/biz/pie-dog-fullerton-14?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
26	[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]	{'latitude': 33.8744772762321, 'longitude': -117.885255142853}	(714) 213-8265	2106.8536076403457	dog-haus-fullerton	https://s3-media3.fl.yelpcdn.com/bphoto/7m6cRCDdFCZnjgcMJIcgiA/o.jpg	False	{'address1': '2555 E Chapman Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['2555 E Chapman Ave', 'Fullerton, CA 92831']}	Dog Haus	+17142138265	$	4.0	396	[]	https://www.yelp.com/biz/dog-haus-fullerton?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
27	[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}]	{'latitude': 33.8542053448348, 'longitude': -117.838509137897}	(714) 575-0076	2925.670473090856	byblos-mediterranean-grill-anaheim	https://s3-media2.fl.yelpcdn.com/bphoto/N2-v0gps2x3Zn2E0YYtINA/o.jpg	False	{'address1': '1071 N Tustin Ave', 'address2': 'Ste 110', 'address3': '', 'city': 'Anaheim', 'zip_code': '92807', 'country': 'US', 'state': 'CA', 'display_address': ['1071 N Tustin Ave', 'Ste 110', 'Anaheim, CA 92807']}	Byblos Mediterranean Grill	+17145750076	$	4.0	263	['pickup', 'delivery']	https://www.yelp.com/biz/byblos-mediterranean-grill-anaheim?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
28	[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'greek', 'title': 'Greek'}]	{'latitude': 33.9112149, 'longitude': -117.8674685}	(714) 529-3200	4587.678097480762	olive-pit-grill-brea-brea-2	https://s3-media3.fl.yelpcdn.com/bphoto/yqvu8SNDkx5AksmQ1KXlSg/o.jpg	False	{'address1': '2445 E Imperial Hwy', 'address2': 'Ste F', 'address3': '', 'city': 'Brea', 'zip_code': '92821', 'country': 'US', 'state': 'CA', 'display_address': ['2445 E Imperial Hwy', 'Ste F', 'Brea, CA 92821']}	Olive Pit Grill Brea	+17145293200	$$	4.0	1316	['pickup']	https://www.yelp.com/biz/olive-pit-grill-brea-brea-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
29	[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'ramen', 'title': 'Ramen'}]	{'latitude': 33.8269853, 'longitude': -117.9762487}	(714) 236-5766	11568.28068327551	cross-roast-bbq-anaheim-10	https://s3-media1.fl.yelpcdn.com/bphoto/8sFVOTo9126LVzEr_wT--Q/o.jpg	False	{'address1': '401 S Magnolia Ave', 'address2': '', 'address3': '', 'city': 'Anaheim', 'zip_code': '92804', 'country': 'US', 'state': 'CA', 'display_address': ['401 S Magnolia Ave', 'Anaheim, CA 92804']}	Cross Roast BBQ	+17142365766	$	4.5	398	['pickup']	https://www.yelp.com/biz/cross-roast-bbq-anaheim-10?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
30	[{'alias': 'farmersmarket', 'title': 'Farmers Market'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]	{'latitude': 33.868209630866, 'longitude': -117.846885835352}	(714) 310-6126	1504.0296948636499	yalla-hummus-anaheim	https://s3-media2.fl.yelpcdn.com/bphoto/GwKVAY64fS9EAoUQL-az6Q/o.jpg	False	{'address1': '3458 E Orangethorpe Ave', 'address2': None, 'address3': '', 'city': 'Anaheim', 'zip_code': '92806', 'country': 'US', 'state': 'CA', 'display_address': ['3458 E Orangethorpe Ave', 'Anaheim, CA 92806']}	Yalla Hummus	+17143106126	$	5.0	31	[]	https://www.yelp.com/biz/yalla-hummus-anaheim?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ
